u,y(alpha=0.1),y(alpha=0.2),y(alpha=0.30000000000000004),y(alpha=0.4),y(alpha=0.5),y(alpha=0.6),y(alpha=0.7000000000000001),y(alpha=0.8),y(alpha=0.9),y(alpha=1.0)
-10.0,-2.0,-2.0,-2.0,-2.0,-1.9999999985781693,-1.9999980101052728,-1.999916999192807,-1.999234129770303,-1.9967022865061406,-1.9907763535836884
-9.9,-2.0,-2.0,-2.0,-2.0,-1.9999999979329903,-1.9999975448564946,-1.9999049237864805,-1.9991568263861126,-1.9964545124820066,-1.9902346947695682
-9.8,-2.0,-2.0,-2.0,-2.0,-1.999999997004847,-1.9999969745327473,-1.99989114694772,-1.9990719160275585,-1.9961883993147076,-1.9896612740736388
-9.700000000000001,-2.0,-2.0,-2.0,-1.9999999999999996,-1.9999999956740897,-1.9999962762950396,-1.9998754374779772,-1.9989786717656117,-1.995902613734918,-1.989054234723442
-9.600000000000001,-2.0,-2.0,-2.0,-1.9999999999999991,-1.9999999937724406,-1.9999954225488072,-1.9998575340497409,-1.998876299578677,-1.9955957276907283,-1.9884116120883744
-9.500000000000002,-2.0,-2.0,-2.0,-1.9999999999999982,-1.9999999910640618,-1.9999943800010511,-1.9998371414701968,-1.9987639324198865,-1.9952662118082274,-1.9877313274973978
-9.400000000000002,-2.0,-2.0,-2.0,-1.999999999999996,-1.9999999872196037,-1.9999931085409424,-1.9998139265089714,-1.9986406237883547,-1.9949124284203652,-1.9870111817124632
-9.300000000000002,-2.0,-2.0,-2.0,-1.999999999999992,-1.9999999817807548,-1.9999915599130418,-1.999787513243004,-1.9985053407661093,-1.9945326241376558,-1.9862488480396978
-9.200000000000003,-2.0,-2.0,-2.0,-1.9999999999999827,-1.99999997411201,-1.999989676147358,-1.9997574778670435,-1.9983569564798547,-1.9941249219328876,-1.9854418650596357
-9.100000000000003,-2.0,-2.0,-2.0,-1.9999999999999627,-1.9999999633352958,-1.999987387704814,-1.999723342913438,-1.9981942419440082,-1.9936873127105925,-1.9845876289569642
-9.000000000000004,-2.0,-2.0,-2.0,-1.999999999999921,-1.9999999482417077,-1.99998461129029,-1.9996845708196012,-1.9980158572386353,-1.9932176463305544,-1.9836833854294627
-8.900000000000004,-2.0,-2.0,-2.0,-1.9999999999998348,-1.9999999271728042,-1.9999812472780936,-1.9996405567759266,-1.9978203419729343,-1.9927136220531505,-1.9827262211549876
-8.800000000000004,-2.0,-2.0,-2.0,-1.999999999999658,-1.9999998978615814,-1.9999771766864756,-1.999590620780884,-1.9976061049818825,-1.992172778372789,-1.981713054794537
-8.700000000000005,-2.0,-2.0,-2.0,-1.9999999999993006,-1.9999998572202666,-1.9999722576284693,-1.9995339988235563,-1.9973714132004385,-1.9915924822041617,-1.9806406275086261
-8.600000000000005,-2.0,-2.0,-2.0,-1.9999999999985834,-1.9999998010582658,-1.9999663211558358,-1.9994698331070389,-1.9971143796564408,-1.9909699173844784,-1.9795054929633764
-8.500000000000005,-2.0,-2.0,-2.0,-1.9999999999971605,-1.9999997237087541,-1.9999591664011342,-1.9993971612187749,-1.9968329505199338,-1.990302072453269,-1.9783040068019329
-8.400000000000006,-2.0,-2.0,-2.0,-1.9999999999943663,-1.999999617536281,-1.999950554909745,-1.9993149041462086,-1.996524891143213,-1.9895857276698106,-1.9770323155560545
-8.300000000000006,-2.0,-2.0,-2.0,-1.9999999999889382,-1.9999994722900825,-1.999940204039024,-1.9992218530279469,-1.996187771022349,-1.9888174412266886,-1.9756863449719653
-8.200000000000006,-2.0,-2.0,-2.0,-1.9999999999785012,-1.9999992742581605,-1.9999277792854406,-1.9991166545220787,-1.9958189476074017,-1.987993534616514,-1.9742617877238615
-8.100000000000007,-2.0,-2.0,-2.0,-1.9999999999586402,-1.9999990051652263,-1.9999128853825638,-1.9989977946643354,-1.9954155488849556,-1.9871100771073853,-1.9727540904878058
-8.000000000000007,-2.0,-2.0,-2.0,-1.9999999999212332,-1.9999986407427972,-1.9998950559928774,-1.9988635810794508,-1.9949744546530686,-1.9861628692813231,-1.9711584403481646
-7.9000000000000075,-2.0,-2.0,-2.0,-1.999999999851501,-1.9999981488815197,-1.99987374179466,-1.9987121233994594,-1.99449227640525,-1.9851474255886794,-1.9694697505082255
-7.800000000000008,-2.0,-2.0,-2.0,-1.9999999997228302,-1.99999748725351,-1.9998482967413853,-1.9985413117327657,-1.9939653357366893,-1.9840589558703754,-1.9676826452762337
-7.700000000000008,-2.0,-2.0,-2.0,-1.9999999994878062,-1.9999966002654017,-1.999817962245304,-1.9983487930177457,-1.9933896411827767,-1.982892345798918,-1.9657914442977882
-7.6000000000000085,-2.0,-2.0,-2.0,-1.999999999062847,-1.9999954151700532,-1.9997818490089805,-1.9981319450844506,-1.9927608633969522,-1.9816421361883783,-1.9637901460053913
-7.500000000000009,-2.0,-2.0,-2.0,-1.999999998302152,-1.9999938371255492,-1.9997389161986407,-1.9978878482378386,-1.9920743085722847,-1.9803025011230604,-1.9616724102559506
-7.400000000000009,-2.0,-2.0,-2.0,-1.9999999969540503,-1.999991742943196,-1.9996879476212621,-1.997613254165945,-1.991324890008877,-1.9788672248543944,-1.9594315401272482
-7.30000000000001,-2.0,-2.0,-2.0,-1.9999999945886477,-1.999988973210657,-1.999627524533548,-1.9973045519667365,-1.9905070977274542,-1.9773296774157711,-1.957060462844805
-7.20000000000001,-2.0,-2.0,-2.0,-1.9999999904792296,-1.9999853224109394,-1.999555994675462,-1.9969577310782505,-1.9896149660283164,-1.9756827889056554,-1.9545517098112697
-7.10000000000001,-2.0,-2.0,-2.0,-1.999999983410032,-1.9999805265815933,-1.9994714370841131,-1.9965683408882442,-1.9886420388944521,-1.9739190223903966,-1.9518973957114323
-7.000000000000011,-2.0,-2.0,-2.0,-1.999999971368089,-1.9999742479699911,-1.9993716222058868,-1.9961314467922717,-1.9875813331381074,-1.9720303453798516,-1.9490891966672956
-6.900000000000011,-2.0,-2.0,-2.0,-1.9999999510547268,-1.9999660560388919,-1.9992539667862732,-1.995641582463179,-1.9864252991917057,-1.9700081998312773,-1.946118327419338
-6.800000000000011,-2.0,-2.0,-1.9999999999999991,-1.9999999171197111,-1.9999554040607173,-1.9991154829785094,-1.99509269809087,-1.9851657794468793,-1.9678434706400676,-1.9429755175122736
-6.700000000000012,-2.0,-2.0,-1.999999999999997,-1.9999998609738743,-1.9999416004084187,-1.998952721074731,-1.9944781043492883,-1.9837939640497537,-1.9655264525798977,-1.9396509864662437
-6.600000000000012,-2.0,-2.0,-1.999999999999988,-1.999999768968614,-1.9999237735050968,-1.9987617052277802,-1.9937904118484169,-1.982300344066767,-1.9630468156598582,-1.9361344179176214
-6.500000000000012,-2.0,-2.0,-1.9999999999999547,-1.9999996196356253,-1.9999008292337983,-1.9985378614993747,-1.9930214658332823,-1.9806746619434699,-1.960393568872298,-1.9324149327174416
-6.400000000000013,-2.0,-2.0,-1.9999999999998352,-1.999999379548254,-1.9998713994339248,-1.9982759375424424,-1.992162275900209,-1.9789058591892776,-1.9575550223125235,-1.928481060980046
-6.300000000000013,-2.0,-2.0,-1.9999999999994222,-1.999998997185251,-1.9998337799229127,-1.9979699132037716,-1.9912029405135825,-1.9769820212343667,-1.9545187476604036,-1.924320713079907
-6.2000000000000135,-2.0,-2.0,-1.9999999999980473,-1.9999983939343555,-1.9997858562839186,-1.9976129013197865,-1.9901325661251237,-1.9748903194211929,-1.9512715370244673,-1.9199211496008353
-6.100000000000014,-2.0,-2.0,-1.999999999993638,-1.9999974510503051,-1.9997250154558546,-1.9971970379755537,-1.988939180723,-1.9726169501128985,-1.947799360161424,-1.9152689502490374
